date,grade9price,grade10price,adjclosestock,volume,adjclosebond,stockreturns,bondadjusted,excessreturns,adjclosestocklag1,adjclosebondlag1,volumelag1,adjclosestocklag2,adjclosebondlag2,volumelag2,adjclosestocklag3,adjclosebondlag3,volumelag3,adjclosestocklag4,adjclosebondlag4,volumelag4,adjclosestocklag5,adjclosebondlag5,volumelag5,adjclosestocklag6,adjclosebondlag6,volumelag6
2022-08-01,165.0,415.0,3955.0,92252350000,3.255000114440918,-0.0424401282729983,0.0325500011444091,-0.1369257165351721,4130.2900390625,2.9739999771118164,81688320000.0,3785.3798828125,3.11899995803833,106116710000.0,4132.14990234375,3.056999921798706,108860390000.0,4131.93017578125,2.947000026702881,90367840000.0,4530.41015625,2.447999954223633,123546260000.0,4373.93994140625,2.181999921798706,92667710000.0
2022-09-01,165.0,345.99,3585.6201171875,94241020000,3.765000104904175,-0.0933956720132743,0.0376500010490417,-0.2500776912244641,3955.0,3.255000114440918,92252350000.0,4130.2900390625,2.9739999771118164,81688320000.0,3785.3798828125,3.11899995803833,106116710000.0,4132.14990234375,3.056999921798706,108860390000.0,4131.93017578125,2.947000026702881,90367840000.0,4530.41015625,2.447999954223633,123546260000.0
2022-10-01,171.67333333333332,316.52000000000004,3871.97998046875,95823760000,4.203999996185303,0.0798634138370089,0.042039999961853,-0.0367368196422148,3585.6201171875,3.765000104904175,94241020000.0,3955.0,3.255000114440918,92252350000.0,4130.2900390625,2.9739999771118164,81688320000.0,3785.3798828125,3.11899995803833,106116710000.0,4132.14990234375,3.056999921798706,108860390000.0,4131.93017578125,2.947000026702881,90367840000.0
2022-11-01,211.5,442.858,4080.110107421875,92671910000,3.822000026702881,0.0537528933524931,0.0382200002670288,0.1446187282309536,3871.97998046875,4.203999996185303,95823760000.0,3585.6201171875,3.765000104904175,94241020000.0,3955.0,3.255000114440918,92252350000.0,4130.2900390625,2.9739999771118164,81688320000.0,3785.3798828125,3.11899995803833,106116710000.0,4132.14990234375,3.056999921798706,108860390000.0
2022-12-01,211.5,59.09,3839.5,85249330000,3.974999904632568,-0.0589714740747304,0.0397499990463256,-0.0990028390304433,4080.110107421875,3.822000026702881,92671910000.0,3871.97998046875,4.203999996185303,95823760000.0,3585.6201171875,3.765000104904175,94241020000.0,3955.0,3.255000114440918,92252350000.0,4130.2900390625,2.9739999771118164,81688320000.0,3785.3798828125,3.11899995803833,106116710000.0
2023-01-01,174.26,295.8240909090909,4076.60009765625,80763810000,3.66100001335144,0.0617528578346791,0.0366100001335144,0.1407465430710445,3839.5,3.974999904632568,85249330000.0,4080.110107421875,3.822000026702881,92671910000.0,3871.97998046875,4.203999996185303,95823760000.0,3585.6201171875,3.765000104904175,94241020000.0,3955.0,3.255000114440918,92252350000.0,4130.2900390625,2.9739999771118164,81688320000.0
2023-02-01,174.26,53.333333333333336,3970.14990234375,80392280000,3.930999994277954,-0.0261124939318185,0.0393099999427795,-0.09986282988971,4076.60009765625,3.66100001335144,80763810000.0,3839.5,3.974999904632568,85249330000.0,4080.110107421875,3.822000026702881,92671910000.0,3871.97998046875,4.203999996185303,95823760000.0,3585.6201171875,3.765000104904175,94241020000.0,3955.0,3.255000114440918,92252350000.0
2023-03-01,182.3990909090909,281.60210526315785,4109.31005859375,113094800000,3.688999891281128,0.0350516125771089,0.0368899989128112,0.096613582393717,3970.14990234375,3.930999994277954,80392280000.0,4076.60009765625,3.66100001335144,80763810000.0,3839.5,3.974999904632568,85249330000.0,4080.110107421875,3.822000026702881,92671910000.0,3871.97998046875,4.203999996185303,95823760000.0,3585.6201171875,3.765000104904175,94241020000.0
2023-04-01,23.0,281.60210526315785,4169.47998046875,70861260000,3.677999973297119,0.014642341662481,0.0367799997329711,0.0176241574142262,4109.31005859375,3.688999891281128,113094800000.0,3970.14990234375,3.930999994277954,80392280000.0,4076.60009765625,3.66100001335144,80763810000.0,3839.5,3.974999904632568,85249330000.0,4080.110107421875,3.822000026702881,92671910000.0,3871.97998046875,4.203999996185303,95823760000.0
2023-05-01,23.0,281.60210526315785,4179.830078125,88929200000,3.8559999465942383,0.0024823473681929,0.0385599994659423,-0.0459135130422005,4169.47998046875,3.677999973297119,70861260000.0,4109.31005859375,3.688999891281128,113094800000.0,3970.14990234375,3.930999994277954,80392280000.0,4076.60009765625,3.66100001335144,80763810000.0,3839.5,3.974999904632568,85249330000.0,4080.110107421875,3.822000026702881,92671910000.0
2023-06-01,23.0,281.60210526315785,4450.3798828125,87983140000,3.8550000190734863,0.0647274649042346,0.0385500001907348,0.0649867822109255,4179.830078125,3.8559999465942383,88929200000.0,4169.47998046875,3.677999973297119,70861260000.0,4109.31005859375,3.688999891281128,113094800000.0,3970.14990234375,3.930999994277954,80392280000.0,4076.60009765625,3.66100001335144,80763810000.0,3839.5,3.974999904632568,85249330000.0
2023-07-01,20.5,76.5,4588.9599609375,75063200000,4.019000053405762,0.0311389323550108,0.0401900005340576,-0.0114032293883996,4450.3798828125,3.8550000190734863,87983140000.0,4179.830078125,3.8559999465942383,88929200000.0,4169.47998046875,3.677999973297119,70861260000.0,4109.31005859375,3.688999891281128,113094800000.0,3970.14990234375,3.930999994277954,80392280000.0,4076.60009765625,3.66100001335144,80763810000.0
2023-08-01,31.38,76.5,4507.66015625,86840820000,4.203999996185303,-0.017716390070854,0.042039999961853,-0.063747726304047,4588.9599609375,4.019000053405762,75063200000.0,4450.3798828125,3.8550000190734863,87983140000.0,4179.830078125,3.8559999465942383,88929200000.0,4169.47998046875,3.677999973297119,70861260000.0,4109.31005859375,3.688999891281128,113094800000.0,3970.14990234375,3.930999994277954,80392280000.0
2023-09-01,27.0,76.5,4288.0498046875,73482980000,4.710999965667725,-0.0487193674656248,0.0471099996566772,-0.1693187894310083,4507.66015625,4.203999996185303,86840820000.0,4588.9599609375,4.019000053405762,75063200000.0,4450.3798828125,3.8550000190734863,87983140000.0,4179.830078125,3.8559999465942383,88929200000.0,4169.47998046875,3.677999973297119,70861260000.0,4109.31005859375,3.688999891281128,113094800000.0
2023-10-01,25.855,51.0,4193.7998046875,83519460000,5.021999835968018,-0.0219796887379829,0.0502199983596801,-0.0879953696054763,4288.0498046875,4.710999965667725,73482980000.0,4507.66015625,4.203999996185303,86840820000.0,4588.9599609375,4.019000053405762,75063200000.0,4450.3798828125,3.8550000190734863,87983140000.0,4179.830078125,3.8559999465942383,88929200000.0,4169.47998046875,3.677999973297119,70861260000.0
